Source ID,Source Name,Source URL,Department / Owner,Source Type,Information Category,Primary Audience,Public / Private Status,Approval Status,Approved By,Last Checked Date,Update Frequency,Trust Level,Allowed for AI Retrieval,Crawl Scope,Auth Required,Content Sensitivity,Primary Use Case,Notes / Issues
SRC-011,Academic Catalog,https://catalog.mcneese.edu/,Academic Affairs / Registrar,Official catalog subdomain,Catalog / Degree Requirements / Policies,Students / advisors / faculty,Public,Approved,Prince Pudasaini (PM),6/9/2026,Yearly,High,Yes,Catalog subdomain + current catalog pages,No,Low/Medium,"Answer official course, curriculum, degree, and academic policy questions.",Treat as source of truth for degree requirements; verify catalog year.
SRC-012,Academic Schedule,https://www.mcneese.edu/schedule/,Registrar / Student Central,Website section,Academic Calendar / Schedule,Current/future students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Semesterly/Daily during registration,High,Yes,Page + semester/final exam schedule links,No,Low,"Answer registration dates, final exam schedules, class schedule resources, and term calendar questions.",High recrawl priority before and during registration periods.
SRC-013,Class Search,https://schedule.mcneese.edu/,Registrar / IT / Scheduling,Public class-search subdomain,Course Search / Class Listings,Current/future students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Daily/Semesterly,High,"Yes, with limits",Search landing page only unless crawler can handle dynamic content,Unknown,Medium,Direct users to official class search and answer general class-listing navigation questions.,May be dynamic; avoid claiming seat availability unless verified live.
SRC-014,Student Central,https://www.mcneese.edu/student-central/,Student Central,Website hub,Student Services / One Stop,Current students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Monthly/Semesterly,High,Yes,Page + public child links only,No for page; linked portals may require auth,Medium,"Answer current-student navigation questions: transcripts, advising, catalog, class schedule, financial resources, FERPA, grades, holds.",Do not ingest Canvas/Banner login-only data in Sprint 1.
SRC-015,Office of the Registrar,https://www.mcneese.edu/registrar/,Office of the Registrar,Website section,Registrar / Student Records / Academic Policy,Current students / faculty / staff,Public,Approved,Prince Pudasaini (PM),6/9/2026,Monthly/Semesterly,High,Yes,Page + registrar child pages/forms,No,Medium,"Answer transcript, FERPA, enrollment verification, withdrawal, graduation, probation/suspension, final grade, VA benefit navigation questions.",Important high-trust source for academic standing workflow.
SRC-016,Campus Life,https://www.mcneese.edu/campus-life/,Student Affairs / Campus Life,Website section,Student Life / Support Services,Current/future students,Public,Pending,TBD,6/9/2026,Monthly/Semesterly,High,Yes,Page + public student-life child pages,No,Low/Medium,"Answer student success, services, housing/dining direction, health/wellness, campus safety, publications, and rodeo questions.",Some health/wellness answers should cite official pages and avoid medical advice.
SRC-017,Campus Maps,https://www.mcneese.edu/campusmaps/,Facilities / University Communications,Website page,Campus Map / Directions,Visitors / students / faculty,Public,Pending,TBD,6/9/2026,Monthly/Unknown,High,Yes,Single page + map assets if crawlable,No,Low,Answer where buildings/offices are and provide campus map direction links.,May need map/image handling later.
SRC-018,Research and Sponsored Programs,https://www.mcneese.edu/grants/,Office of Research and Sponsored Programs,Website section,Research / Grants,Faculty/staff/students,Public,Pending,TBD,6/9/2026,Monthly/Yearly,High,Yes,Page + grants/research child pages,No,Low,"Answer research office, grants, sponsored-programs, and research support questions.",Redirect observed from /research/ to /grants/.
SRC-019,Faculty and Staff Hub,https://www.mcneese.edu/faculty-staff/,University Administration / HR / IT / Academic Affairs,Website hub,Faculty & Staff Resources,Faculty/staff,Public,Pending,TBD,6/9/2026,Monthly,High,Yes,Public hub + public child links only,No for page; some linked portals require auth,Medium,"Route faculty/staff questions to advising handbook, HR, policies, IT, emergency, registrar, and administration resources.","Exclude login-only portals such as MyMcNeese, Banner, Moodle unless public docs only."
SRC-020,University Policies,https://www.mcneese.edu/policy/,University Administration,Policy directory,Policies / Governance,All audiences,Public,Pending,TBD,6/9/2026,Monthly/Yearly,High,Yes,Policy directory + policy pages/PDFs,No,Medium,"Answer official policy, governance, compliance, and procedure questions.",Use direct policy page citations; set version/date checks if available.
SRC-021,Emergency Preparedness / University Status,https://www.mcneese.edu/emergency/,University Status / Emergency Preparedness / Campus Police,Website page,Emergency / Safety,All audiences,Public,Pending,TBD,6/9/2026,As needed / urgent,High,Yes,Single page + linked emergency resources,No,High,"Answer emergency status, preparedness, closure, and safety-resource navigation questions.",Do not cache during emergency; always check live source.
SRC-022,Consumer Information Disclosures,https://www.mcneese.edu/ire/consumer-disclosures/,Institutional Research & Effectiveness,Disclosure page,Consumer Information / Compliance,Public / students,Public,Pending,TBD,6/9/2026,Yearly,High,Yes,Page + disclosure links,No,Medium,"Answer required public disclosures, consumer information, and institutional reporting navigation questions.",May include linked PDFs/reports; verify before ingestion.
SRC-023,Title IX and Power-Based Violence Reporting,https://www.mcneese.edu/titleix/data/,Title IX Office / Compliance,Website section,Title IX / Reporting / Compliance,All audiences,Public,Pending,TBD,6/9/2026,Monthly/Yearly,High,"Yes, with care",Page + public Title IX resources,No,High,Route users to official Title IX reporting and public information pages.,Sensitive topic: do not summarize beyond source; provide direct referral/citation.
SRC-024,Office of Campus Compliance and Civility,https://www.mcneese.edu/compliance/,Office of Campus Compliance and Civility,Website section,Compliance / Civility / Reporting,All audiences,Public,Pending,TBD,6/9/2026,Monthly/Yearly,High,"Yes, with care",Page + public compliance pages,No,High,Answer compliance office location/role and route reporting/resource questions.,Sensitive; require official citations.
SRC-025,Library,https://www.mcneese.edu/library/,Lether E. Frazar Memorial Library,Website section,Library / Research Resources,Students / faculty / staff,Public,Pending,TBD,6/9/2026,Daily/Weekly,High,Yes,Library landing page + public guides/resources,No for public page; databases may require auth,Medium,"Answer library hours, catalog/guides/navigation, databases, interlibrary loan, and research-help questions.",Do not ingest paywalled/auth-only library database content.
SRC-026,Today at McNeese / News and Events,https://www.mcneese.edu/today/,University Communications,News/events page,News / Events / Announcements,Public / campus community,Public,Pending,TBD,6/9/2026,Daily/Weekly,High,Yes,News/event index + article pages,No,Low,"Answer public news, announcements, and event-discovery questions.",Time-sensitive; keep publish/event dates in retrieval metadata.
SRC-027,Bookstore,https://www.mcneese.edu/bookstore/,McNeese Bookstore / Vendor,Website page / external store link,Bookstore / Textbooks / Merch,Students / visitors,Public,Pending,TBD,6/9/2026,Monthly/Semesterly,Medium/High,"Yes, limited",Landing page only + official store links,No/Unknown,Low,Route users to bookstore and textbook resources.,"External vendor/store links should be treated as referral sources, not knowledge base truth for inventory/prices."
SRC-028,Athletics,https://mcneesesports.com/,McNeese Athletics,Official athletics site,Athletics / Sports / Tickets / Teams,Public / fans / students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Daily/Weekly,High for athletics,Yes,Athletics site + team schedules/news,No,Low,"Answer team, schedule, ticket, facility, and athletics information questions.",Separate domain; verify crawl rules and source ownership before automated ingestion.
SRC-029,Organizations and Engagement,https://mcneese.presence.io/,Student Engagement and Leadership / Presence platform,External official student-org platform,Organizations / Engagement,Students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Weekly/Semesterly,Medium/High,"Yes, limited",Public organization/event pages only,Unknown,Medium,Answer student-organization discovery and engagement navigation questions.,External platform; verify public API/crawl permission before ingestion.
SRC-030,Terms of Use / Web Disclaimer,https://www.mcneese.edu/terms-of-use/,University Communications / Legal,Policy/legal page,Website Terms / Web Disclaimer,Public,Public,Pending,TBD,6/9/2026,Yearly,High,Yes,Single page,No,Medium,Use for website usage constraints and project compliance reference.,Keep separate from student-facing QA corpus unless needed.
SRC-031,Freshman Academic Scholarships,https://www.mcneese.edu/scholarships/freshman_academic_scholarships/,Office of Scholarships / Student Central,Website page,Scholarships,Future students / freshmen / parents,Public,Approved,Prince Pudasaini (PM),7/5/2026,Semesterly/Yearly,High,Yes,Single page + linked award tables,No,Low,"Answer new-freshman academic scholarship award tiers (Presidential, University Scholars, John McNeese, Academic Excellence), GPA/ACT/SAT thresholds, dollar amounts, and the December 15 priority deadline.",Contains award tables that must be preserved as structured Markdown.
SRC-032,Continuing Student Academic Scholarships,https://www.mcneese.edu/scholarships/continuing_student_academic_scholarships/,Office of Financial Aid and Scholarships / Student Central,Website page,Scholarships,Current / continuing students,Public,Approved,Prince Pudasaini (PM),7/5/2026,Semesterly/Yearly,High,Yes,Single page,No,Low,"Answer continuing/current-student scholarship application process (McNeese Academic Scholarship Application) and selection factors (collegiate GPA, in-major GPA, extracurriculars, leadership, honors).",Application-process page; pair with award-tier pages for full answers.
SRC-033,International Scholarships,https://www.mcneese.edu/student-central/international-scholarships/,Office of Financial Aid and Scholarships / International Programs,Website page,Scholarships / International,International students,Public,Approved,Prince Pudasaini (PM),7/5/2026,Semesterly/Yearly,High,Yes,Single page + linked award tables,No,Medium,"Answer international scholarship eligibility and awards by category: first-time freshmen (GPA 3.0 + IELTS/TOEFL/Duolingo/PTE/SAT cutoffs -> $1000), transfer (GPA tiers -> $500/$1000), and graduate (GPA 3.0+ -> $1000); includes internationaloffice@mcneese.edu and scholarshipdocs@mcneese.edu.",Contains GPA/test-score/dollar tables that must be preserved as structured Markdown.
