source_id,source_name,domain,base_url,source_type,authority_tier,category_scope,access_method,authentication,robots_and_terms_policy,refresh_cadence,allowed_use,prohibited_or_restricted_use,trust_score
SRC-014,McNeese Policies,mcneese.edu,https://www.mcneese.edu/policy/,university_official,1,university policies compliance,HTML and PDF,no,check robots.txt,weekly,Canonical policy texts and effective dates.,Always preserve version/effective-date context.,100
SRC-015,McNeese News,mcneese.edu,https://www.mcneese.edu/today/,university_official,1,news announcements events,HTML and RSS if available,no,check robots.txt,hourly to daily,Official announcements and news.,Distinguish publish date from event date.,100
SRC-016,McNeese Bookstore,mcneesecowboystore.com,https://mcneesecowboystore.com/,official_partner,2,books merchandise supplies,HTML,sometimes,respect commerce terms and robots,daily,"Published products, hours, textbook discovery.",No checkout automation or payment data.,90
SRC-017,McNeese Alumni,mcneesealumni.com,https://www.mcneesealumni.com/,official_affiliate,2,alumni events membership,HTML,sometimes,respect terms and robots,weekly,Alumni association programs and events.,No member-directory harvesting.,92
SRC-018,McNeese Foundation,mcneesefoundation.org,https://mcneesefoundation.org/,official_affiliate,2,giving scholarships foundation,HTML,sometimes,respect terms and robots,weekly,"Foundation programs, giving, public reports.",No donor profiling or payment automation.,92
SRC-019,Federal Student Aid,studentaid.gov,https://studentaid.gov/,government_official,1,FAFSA federal aid loans,HTML and official tools,sometimes,respect federal site terms,weekly,Federal aid rules and official borrower resources.,Never collect FSA IDs or credentials.,100
SRC-020,College Scorecard,collegescorecard.ed.gov,https://collegescorecard.ed.gov/,government_official,1,institution metrics costs outcomes,API and HTML,no,follow API terms and limits,monthly,Federal institutional data and comparisons.,Label reporting year and limitations.,100
SRC-021,NCES College Navigator,nces.ed.gov,https://nces.ed.gov/collegenavigator/,government_official,1,institution statistics,HTML and data downloads,no,follow terms and rate limits,annual,"Federal enrollment, programs, and institutional data.",Label academic/reporting year.,100
SRC-022,Louisiana Board of Regents,laregents.edu,https://www.laregents.edu/,state_government,1,Louisiana higher education policy data,HTML and reports,no,respect terms,monthly,"State higher-education rules, reports, program information.",Use report dates and do not override institution-specific current rules.,100
SRC-023,University of Louisiana System,ulsystem.edu,https://www.ulsystem.edu/,system_official,1,system governance policies,HTML and PDF,no,respect terms,monthly,System-level governance and policies.,Distinguish system policy from McNeese implementation.,100
SRC-024,USCIS,uscis.gov,https://www.uscis.gov/,government_official,1,immigration forms status policies,HTML and official tools,sometimes,respect federal terms,daily to weekly,"Authoritative immigration forms, alerts, policy guidance.",Not legal advice; never collect receipt numbers or credentials.,100
SRC-025,DHS Study in the States,studyinthestates.dhs.gov,https://studyinthestates.dhs.gov/,government_official,1,F-1 SEVP student guidance,HTML,no,respect federal terms,weekly,Official F-1 student and school guidance.,Escalate institution-specific determinations to DSO.,100
SRC-026,U.S. Department of State Travel,travel.state.gov,https://travel.state.gov/,government_official,1,visas travel consular,HTML,no,respect federal terms,daily to weekly,Official visa and travel guidance.,No personalized legal guarantees.,100
SRC-027,Louisiana Department of Health,ldh.la.gov,https://ldh.la.gov/,state_government,1,health public health licensing,HTML,no,respect terms,daily,State health guidance and provider resources.,Not a substitute for emergency care.,100
SRC-028,CDC,cdc.gov,https://www.cdc.gov/,government_official,1,health guidance vaccinations,HTML and data,no,respect federal terms,daily,National public-health guidance.,Avoid personalized diagnosis.,100
SRC-029,National Weather Service Lake Charles,weather.gov,https://www.weather.gov/lch/,government_official,1,weather warnings closures context,HTML feeds CAP,no,follow API/robots terms,hourly,"Official watches, warnings, forecasts.",University closure status must still be confirmed by McNeese.,100
SRC-030,FEMA,fema.gov,https://www.fema.gov/,government_official,1,emergency preparedness disaster aid,HTML,no,respect terms,daily during events,Federal emergency guidance.,No eligibility guarantees.,100
SRC-031,City of Lake Charles,cityoflakecharles.com,https://www.cityoflakecharles.com/,local_government,1,local services transit events,HTML,no,respect terms,daily to weekly,Official city services and local notices.,Verify event and service dates.,98
SRC-032,Calcasieu Parish Police Jury,calcasieu.gov,https://www.calcasieu.gov/,local_government,1,parish services emergency local government,HTML,no,respect terms,daily to weekly,Official parish resources.,Use precise jurisdiction.,98
SRC-033,Louisiana Civil Service,jobs.la.gov,https://jobs.la.gov/,state_government_jobs,1,classified jobs Louisiana state,official job portal,sometimes,follow portal terms; no mass scraping,daily,Official state classified employment listings.,Use links and approved feeds; do not automate applications.,100
SRC-034,USAJOBS,usajobs.gov,https://www.usajobs.gov/,government_jobs,1,federal jobs internships,API and HTML,sometimes,use official API and limits,daily,Official federal job listings.,No automated applications or credential storage.,100
SRC-035,GovernmentJobs,governmentjobs.com,https://www.governmentjobs.com/,job_board,2,local public sector jobs,HTML/search/API where licensed,sometimes,respect terms; use approved access,daily,Discovery for public-sector jobs.,Verify posting at hiring agency; no scraping against terms.,85
SRC-036,HigherEdJobs,higheredjobs.com,https://www.higheredjobs.com/,job_board,2,higher education jobs,search and links,sometimes,respect terms; no unauthorized scraping,daily,Discovery for higher-education roles.,Verify on employer career site.,84
SRC-037,Indeed,indeed.com,https://www.indeed.com/,job_board,3,jobs internships employer discovery,search-engine discovery or licensed access,yes for some,terms prohibit unauthorized scraping/bots,daily,Discovery only when compliant; link to employer source.,"No direct scraping, automated applications, or profile harvesting.",70
SRC-038,LinkedIn,linkedin.com,https://www.linkedin.com/,professional_network,3,jobs companies professional discovery,user-facing links or authorized API,yes,"do not use unauthorized crawlers, bots, or scraping",daily,Discovery and user-directed navigation only.,No profile harvesting or automated activity.,70
SRC-039,Handshake,joinhandshake.com,https://joinhandshake.com/,career_platform,2,student jobs internships career fairs,authorized institutional/user access,yes,respect institutional license and user consent,daily,Student career opportunities when authorized.,No token sharing or cross-user data access.,90
SRC-040,Sodexo Careers,jobs.us.sodexo.com,https://jobs.us.sodexo.com/,employer_career_site,2,dining and facilities employment,HTML/search,sometimes,respect terms and robots,daily,Official Sodexo job postings.,No automated applications.,92
SRC-041,O*NET Online,onetonline.org,https://www.onetonline.org/,government_career_data,1,occupation skills career research,HTML and datasets,no,follow data license,annual,"Occupation definitions, skills, tasks, outlook links.",Do not imply individual fit from profile data.,100
SRC-042,Bureau of Labor Statistics,bls.gov,https://www.bls.gov/,government_official,1,employment wages outlook,API and HTML,no,follow API terms,monthly to annual,Official labor-market statistics.,Label geography and reporting period.,100
SRC-043,Grants.gov,grants.gov,https://www.grants.gov/,government_official,1,federal grants,API/search,sometimes,follow API terms,daily,Official federal funding opportunities.,Institutional submission still follows McNeese ORSP procedures.,100
SRC-044,NSF Award Search,nsf.gov,https://www.nsf.gov/awardsearch/,government_official,1,research awards funding,search/data,no,follow terms,weekly,Official NSF awards and opportunities.,Distinguish solicitation from award.,100
SRC-045,NIH RePORTER,reporter.nih.gov,https://reporter.nih.gov/,government_official,1,biomedical research awards,API/search,no,follow API terms,weekly,Official NIH-funded research data.,Label project status and fiscal year.,100
SRC-046,SACSCOC,sacscoc.org,https://sacscoc.org/,accreditor_official,1,institutional accreditation,HTML and directories,no,respect terms,monthly,Regional accreditation status and standards.,Do not infer programmatic accreditation.,100
SRC-047,ABET,abet.org,https://www.abet.org/,accreditor_official,1,engineering computing accreditation,program search,no,respect terms,monthly,Official ABET program status.,Match exact program and campus.,100
SRC-048,AACSB,aacsb.edu,https://www.aacsb.edu/,accreditor_official,1,business accreditation,directory,no,respect terms,monthly,Official business accreditation information.,Match institution and unit precisely.,100
SRC-049,CCNE,aacnnursing.org/ccne-accreditation,https://www.aacnnursing.org/ccne-accreditation,accreditor_official,1,nursing accreditation,directory,no,respect terms,monthly,Official CCNE information.,Verify exact program level.,100
SRC-050,Louisiana State Board of Nursing,lsbn.state.la.us,https://lsbn.state.la.us/,state_regulator,1,nursing licensure education rules,HTML and documents,no,respect terms,weekly,Official Louisiana RN rules and approved-program information.,Not legal advice or individual licensure determination.,100
SRC-051,Louisiana Department of Education,louisianabelieves.com,https://www.louisianabelieves.com/,state_government,1,teacher certification education policy,HTML,no,respect terms,weekly,Official teacher certification and K-12 policy.,Verify current certification pathway.,100
SRC-052,NCAA,ncaa.org,https://www.ncaa.org/,governing_body,2,athletics eligibility rules,HTML,no,respect terms and media rights,weekly,NCAA rules and public information.,McNeese compliance office remains authoritative for individual cases.,95
SRC-053,Southland Conference,southland.org,https://www.southland.org/,governing_body,2,conference schedules standings,HTML,no,respect terms and media rights,daily,Conference schedules and standings.,Official McNeese athletics source outranks for team-specific announcements.,92
SRC-054,NIRA,collegerodeo.com,https://www.collegerodeo.com/,governing_body,2,college rodeo standings rules,HTML,no,respect terms,weekly,"College rodeo schedules, standings, rules.",Verify McNeese-specific details with team source.,90
SRC-055,Apartments.com,apartments.com,https://www.apartments.com/,housing_marketplace,3,off-campus housing discovery,user-facing search or licensed feed,sometimes,no unauthorized scraping,daily,Discovery of rental listings.,Verify directly with property; no discrimination profiling.,68
SRC-056,Zillow Rentals,zillow.com,https://www.zillow.com/rentals/,housing_marketplace,3,off-campus housing discovery,user-facing search or licensed feed,sometimes,respect terms; no unauthorized scraping,daily,Discovery of rental listings.,"Verify price, availability, fees, and identity of property manager.",68
SRC-057,Realtor.com Rentals,realtor.com,https://www.realtor.com/rentals/,housing_marketplace,3,off-campus housing discovery,user-facing search or licensed feed,sometimes,respect terms,daily,Discovery of rental listings.,Verify source and current availability.,68
SRC-058,Google Maps,google.com,https://maps.google.com/,mapping_platform,3,directions nearby services hours,authorized Maps API or user links,sometimes,use licensed APIs; no scraping,daily,Maps and place discovery under licensed use.,Do not treat user reviews as authoritative facts.,75
SRC-059,OpenStreetMap,openstreetmap.org,https://www.openstreetmap.org/,open_mapping,2,maps directions geocoding,API/data under ODbL,no,follow tile/API policy and attribution,monthly,Open geographic data with required attribution.,Do not overload public tile servers.,88
SRC-060,Eventbrite,eventbrite.com,https://www.eventbrite.com/,event_platform,3,external events,user links or API where authorized,sometimes,respect terms,daily,External event discovery.,Verify organizer and event status.,70
SRC-061,Visit Lake Charles,visitlakecharles.org,https://www.visitlakecharles.org/,destination_official,2,local events attractions,HTML,no,respect terms,daily,Official destination marketing information and events.,Event organizer source should confirm final details.,86
SRC-062,Louisiana 211,louisiana211.org,https://www.louisiana211.org/,community_resource,2,community assistance referrals,HTML and phone service,no,respect terms,weekly,Community service discovery and referral.,For emergencies direct to 911/988 or appropriate official service.,90
SRC-063,988 Lifeline,988lifeline.org,https://988lifeline.org/,government_supported_crisis,1,mental health crisis,HTML phone text,no,respect terms,monthly,Crisis contact information.,Use only for crisis routing; do not delay emergency services.,100
SRC-064,Louisiana Workforce Commission,laworks.net,https://www.laworks.net/,state_government,1,jobs unemployment workforce services,HTML and official tools,sometimes,respect terms,daily,Official Louisiana workforce and employment services.,No credential storage.,100
SRC-065,Louisiana Secretary of State,sos.la.gov,https://www.sos.la.gov/,state_government,1,business verification records,official search,sometimes,respect terms,monthly,Business entity verification.,Do not use records for sensitive profiling.,98
SRC-066,Federal Register,federalregister.gov,https://www.federalregister.gov/,government_official,1,federal rules proposed and final,API and HTML,no,follow API terms,daily,Official rulemaking documents and dates.,"Distinguish proposed, final, effective, and stayed rules.",100
SRC-067,eCFR,ecfr.gov,https://www.ecfr.gov/,government_official,1,current federal regulations,API and HTML,no,follow terms,daily,Current codified federal regulations.,Legal interpretation may require counsel or authorized official.,100
SRC-068,FERPA - U.S. Department of Education,studentprivacy.ed.gov,https://studentprivacy.ed.gov/,government_official,1,FERPA student privacy,HTML,no,respect federal terms,monthly,Official FERPA guidance.,Institution-specific record decisions go to Registrar/privacy official.,100
SRC-069,Louisiana Laws,legis.la.gov,https://legis.la.gov/,state_government,1,Louisiana statutes,HTML,no,respect terms,monthly,Official state legislation and statutes.,Not legal advice.,100
SRC-070,Louisiana Ethics Administration,ethics.la.gov,https://ethics.la.gov/,state_regulator,1,ethics disclosures public employees,HTML,no,respect terms,monthly,Official ethics rules and filings.,Avoid unsupported legal conclusions.,100
